UUID,Categoria,Ragione Sociale,Indirizzo,Sito,e-mail,Telefono,Facebook ID,Facebook URL,Google Place URL,Google Place ID,Latitude,Longitude,Categoria catastale
0c3e7ea7-b7dc-405b-8f58-5884f92ffb5f,"",GEROSA CALZATURE DESIO S.R.L.,VIA DIAZ,www.supermercatodellescarpe.com,info@supermercatodellescarpe.com,036/2622216 ,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
706df283-78e1-4df5-9882-7ddbb315b1e0,"",NEGOZIO DI GIOCATTOLI DI MARIANI F.LLI SNC DI ALBERTO E PAOLO MARIANI,VIA MILANO,www.paradisodelbimbo.it,info@paradisodelbimbo.it ,0362/621019 ,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
f7c657ed-b6ae-4a02-981b-2d0db2aee653,"",NEGOZIO DI BICICLETTE DI MOTTA ROBERTO,VIA PER SEREGNO,,,0362/621250,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
2a795786-4c04-4b33-bd61-a9f8bd735653,"",CIVICHE FARMACIE DESIO SPA,CORSO ITALIA,www.civichefarmaciedesio.it,desiocentrale@farma3.it,0362/301329,"","","","","","",N Non Domestica 14 : EDICOLE-FARMACIE-TABACCAI-PLURILICENZE
330dd37c-34ca-437a-ad51-4289cde93a0e,"",TABACCHERIA DI RONCORONI CLAUDIA,VIA GARIBALDI,,,0362/625880,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
d1f8e589-e425-4096-b56c-9b388de9a041,"",SALONE PARRUCCHIERA DI GIROMETTA PIERA,VIA GARIBALDI,,,0362/621206,"","","","","","",N Non Domestica 17 : ATTIVITA' ARTIGIANALI (BOTTEGHE:PARRUCCHIERI-...)
9b383470-952c-4735-bc6a-84a9653b44bd,"",TAGLIABUE BRUNO FORNAIO,VIA DUE PALME,,,0362/626382,"","","","","","",N Non Domestica 15 : NEGOZI PARTICOLARI (FILATELIA-TESSUTI-ANTIQUAR.-.)
c06b2c8a-efa8-4193-b6e8-b2b2ee5d58a4,"",FABBRICAZIONE E VENDITA TENDE DI MONGUZZI GIUSEPPE,VIA PER SEREGNO,,,0362/303299,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
dbae1bc4-981a-4e3b-8758-b4b1fa5e73d8,"",FASHION HOUSE S.R.L.,VIA PRATI,,,,"","","","","","",N Non Domestica 16 : BANCHI DI MERCATO BENI DUREVOLI
8bded095-bc72-40b7-a877-9863e8a72c8e,"",INOX PLUS SRL,VIA MULINELLO,www.inoxplussnc.it,info@inoxplussnc.it,0362/303204,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
48cbed32-a22d-4d0c-8adc-e212226b3440,"",NEGOZIO DI SERRAMENTA E INFISSI DI BONTEMPI DANIELE,VIA SAURO,www.plastiklegno.it,,0362/621298,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
74afe85c-d58d-45d6-bb4e-dc6cc5d726f2,"",COLZANI MAURIZIO,VIA TAGLIABUE,,,0362/1787758,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
8337af03-026e-4ec1-b1ff-13e1839df0a3,"",DI GIESSE DI DRESSENO FABIO S.N.C.,VIA MANZONI,,,0362/1795651,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
68b32d6b-f29e-481c-8f36-459223bd4e88,"",NEW ART DI SANTAMBROGIO T.E A. SDF,VIA PELLICO,,,0362/621768,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
27b4bb75-7537-4205-9bc9-28acf22076b1,"",VIDEO ELETTRICA VOLTA DI SORGATO GIAMPIETRO E C SNC,VIA LOMBARDIA,,,0362/623687,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
c9b38ce3-98b7-4b9e-8130-6b601b2b0002,"",FABBRI PNEUMATICI SNC DI FABBRI L.,VIA MANZONI,www.pirelli.com,,02 64421,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
f9bf1aec-af7a-4972-bffc-4102f999e50f,"",MANIERO E BORELLA GOMME SNC,VIA MULINELLO,,,0362/631137,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
98aebbb4-aea9-431e-8b06-2a654d12200e,"","AUTOFFICINA CONSONNI DI MARCO, FABIO ED ERMINIO CONSONNI S.N.C.",VIA LAVORATORI AUTOBIANCHI,,,0362/306583,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
94870229-d407-4458-9f2b-52046717a700,"",VIANI ARMANDO & F.LLI,VIA BINZAGO,,,0362/622109,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
592cd899-b081-4793-b5fb-de89526c5128,"",HOLDIAMOND S.R.L.,VIALE SABOTINO,www.holdiamond.it,info@holdiamond.it,0362/624093,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
9c5f8933-f19a-4c8b-9b40-fd0a5a013568,"",GAGLIAZZO DINO DI A.GAGLIAZZO & C.,VIA GIUSTI,www.gagliazzodino.com,gagliazzo@gagliazzodino.com,0362/308333,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
b4e412f6-b9f9-457d-925b-63a4a84d622e,"",MOKA KENYA SRL,VIA FERRAVILLA,www.mokakenya.it,info@mokakenya.it,0362/622240,"","","","","","",N Non Domestica 26 : PLURILICENZE ALIMENTARI O MISTE
0fdf98f0-5e9b-41ac-8cc4-3d80f83b762d,"",TEMPER DESIO SRL,VIA DEGLI ARTIGIANI,,,0362/628686,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
efaaef96-2661-433b-885d-94eb6d8dd7ec,"",GNOSIS SPA,VIA LAVORATORI AUTOBIAN,www.gnosis-bio.com,info@gnosis-bio.com,0362/48841 ,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
905deed9-954c-42e1-9e0b-0d968b0372a7,"",WORTHINGTON SRL,VIA ROSSINI,www.flowserve.com,MTiozzo@flowserve.com,,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
c613710d-d097-4829-a64f-1858741561c5,"",SARMCO S.R.L.,VIA ROSSA,www.sarmco.it,,0362/622447,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
05027314-7af1-499f-a0df-9e4c0b5ab55d,"",TECNOLUX ITALIA SRL,VIA CARAVAGGIO,www.tecnolux.com,,0362/300619,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
48be60a4-8eb6-444f-b571-8d95df01ac81,"",SACCANI MARCO CRISTIAN,VIA VOLTA,,,,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
7132fb6e-c7aa-4e01-b39c-317fa1003343,"",NEGOZIO DI ELETTRODOMESTICI DI CATTANEO BAMBINA,VIA DIAZ,,,0362/623686,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
ad3ccded-e9f8-40c1-b13e-f283aafc72fa,"",RIVOLTA SNC DI ANDREA RIVOLTA E. C.,VIA VITTORIO VENETO,www.riwoods.com,info@riwoods.com ,0362/621608,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
00b7ddaa-1a7b-4f80-b0a0-050f1de37b75,"",ANGELMEDA GRAF SRL,VIA POZZO ANTICO,www.angelmeda.it,info@angelmeda.it,0362/306153,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
72666980-a76c-46f1-adc0-f5b854bfa970,"",BIRRIFICIO IRRENHAUS S.R.L.,VIA EUROPA,www.birrificioirrenhaus.it,info@birrificioirrenhaus.it,0362/620116,"","","","","","",N Non Domestica 23 : MENSE-BIRRERIE-AMBURGHERIE
ef89682a-5b2e-4715-8e7f-88be70548abb,"",GELATERIA -I DELFINI- DI ELLI RACH ELE E DARI,VIA POZZO ANTICO,,,0362/621611,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
3fc1125c-c874-4e48-8d16-75e985cfbe72,"",GELATERIA CAVOUR DI RADAELLI DORIA NA & C. SN,PIAZZA CAVOUR,,,0362/629824,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
6607ee9d-6801-424b-9fad-65511afbcd91,"",BAR DI PEDRINI E CALDARINI ,VIA LOMBARDIA,,,0362/622439,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
6a198a32-216a-490b-9aaa-07a3f268e05c,"",IL FORNO DEI VIGANO' DI VIGANO' RO BERTO & C.,VIA AGNESI,,,0362/331014,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
e5d22de7-4637-46b4-9c24-76e55658517f,"",BAR DI AVELLA GIUSEPPE,VIA GARIBALDI,,,0362/622368,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
57ea814b-ec11-46e1-90f5-132180410a77,"",POZZOLI FOOD S.P.A.,VIA MASCAGNI,www.pozzoliprofessionalfood.it,posta.verde@pozzolifoodspa.com,342-3317112,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
018c47dc-c3f8-49e0-9672-c51a174abe6f,"",ELITE CAFE' SNC,VIA OLMETTO,,,0362/638025,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
d1af8381-1697-407f-a396-a8e766dae842,"",MACELLERIA DI MOGICATO FERDINANDO,VIA GARIBALDI,,,0362/628423,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
4617cc3b-d691-4ae9-a039-7d18453d1df9,"",NOVATI PIER PAOLO FORNAIO ,VIA POZZO ANTICO,,,0362/627036,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
195e3b24-4f86-4503-b033-c1c0946f6eda,"",PERGOLINO DI AROSIO ENRICO & C.SNC,VIA POZZO ANTICO,,,0362/622232,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
f82da608-0e12-4d08-8525-f2a5317a95cf,"",U.S. PALLACANESTRO AURORA DESIO 94,VIA SAN PIETRO,www.auroradesio.it,,0362/302901,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
f03f2be4-6f1c-437d-a1e6-2956bed552e7,"",ASSOCIAZIONE NAZIONALE ALPINI,VIA GALENO,www.blog.libero.it,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
7ae70966-1ab1-44b8-8221-6e98be1b401e,"",CAMERA DEL LAVORO,VIA F.LLI CERVI,www.cafcgil.it,consorziocaafcgil@pec.it,0362/302068,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
735ce3d8-25a9-4747-adc8-457577d573d3,"",CHIESA CRISTIANA AVVENTISTA DEL 7 GIORNO,PIAZZA GIOTTO,,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
39943000-8975-43cd-a87f-59ccb7aab936,"",SRL COOPERATIVA CIRCOLO SOCIALISTA DESIO,VIA MILANO,,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
7c08b21c-1250-46c9-af21-62429fe41b2a,"",CIRCOLO SPORTIVO AURORA,VIA GARIBALDI,www.auroradesio.it,,0362/302901,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
9506956a-ccd4-48d5-a497-bbd753d622b1,"",COLLEGIO ARCIVESCOVILE PIO XI,VIA CARDUCCI,www.collegiopioxi.it, info.pioxi@collegifacec.it,0362/621606,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
9e227fb3-5566-493e-ab85-7db2bd8827d0,"",PIA SOCIETA' DI SAN FRANCESCO SAVERIO PER LE MISSIONI ESTERE,VIA DON MILANI,www.chiesadimilano.it,,0521/54341,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
08784671-f2c5-42d0-afe1-d9f4572c583f,"",TAGLIABUE ENRICO GIOVANNI,VIA LOMBARDIA,,,0362/625853,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
99009eb5-6a03-45fe-80f9-18b392f3ade5,"","OPERA PIA ""SACRO CUORE DI GESU'""",VIA DON MINZONI,www.guidamonaci.it, infoitaly@guidamonaci.it,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
3725d535-48a9-41ad-b2fc-b32062b31d25,"",PARROCCHIA SS.PIETRO E PAOLO,VIA SANTA CATERINA,www.ssppdesio.it, info@ssppdesio.it,0362/623771,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
59804fc2-f046-450d-ad32-ab074004d25a,"",PARROCCHIA S.PIO X,VIA GARIBALDI,,,0362/623752,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
ba3b14b0-8c6a-4ca9-9419-ae913556ce8c,"",SCUOLA MATERNA S.VINCENZO,VIA TRE VENEZIE,,,0362/624165,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
85e6bc72-d098-4588-9c1b-c43abc0cd6f1,"",UNIONE ARTIGIANI PROVINCIA DI MILANO,VIA POZZO ANTICO,www.unioneartigiani.it,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
42bf557a-0a7a-4e4f-ae8c-64387c9c5ee7,"",UNIONE COMMERCIANTI PROVINCIA MILANO,VIA DIAZ,www.fidicomet.com,,0362/6245412,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
e543eedf-c880-47e3-b85b-075721566783,"",ASSOCIAZIONE MICOLOGICA BRESADOLA,VIA LAMPUGNANI,www.ambdesio.blogspot.it,,339/6304447,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
fd5a6e78-f999-4e83-aa8e-8395d3059e13,"",ASSOCIAZIONE DEI TESTIMONI DI GEOVA DI DESIO,VIA XXV APRILE,,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
5f040da5-fdba-40b0-93e5-ea0ca061465a,"",APA  CONFARTIGIANATO,VIA GARIBALDI,www.apaconfartigianato.it,apa.desio@apaconfartigianato.it,0362/621544,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
47053118-a929-4eb9-816d-ce364f4f4fbb,"",ASSOCIAZIONE VANGELO E ZEN,VIA GRANDI,www.vangeloezen.org,,0362/300350,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
8100a8e4-64f5-4518-b5a5-5a37342c881b,"",CASA DI MAMRE ONLUS,VIA CADORE,www.madredellapietaceleste.org,info@madredellapietaceleste.org,290504052,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
d7fb27e7-68cf-498d-83c3-bb0d155a58c0,"",IL NIDO DELLA CICOGNA S.N.C. DI SIMONA E ANGELO LARCHER,VIA BRENNERO,www.ilnidodellacicogna.school,ilnidodellacicogna@babyworld.it,345/3481540,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
679d5d4d-c5f7-4409-abd2-edafa60dc818,"",STRIPES COOP. SOCIALE ONLUS,VIA DIAZ,www.stripes.it,stripes@pedagogia.it,02 9316667,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
dd09c4b6-afe9-45b1-895a-69d3fda9271f,"",BUM BUM S.R.L.,VIA PODGORA,www.asilonido.com,info@asilonido.com,0362/628659,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
722441d6-6b4c-4fec-b830-402c56c98e87,"",MERONI MARTA,VIA CADORE,,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
567f5eaa-8a6a-47a0-887f-dbbb1b216654,"",A.C. FERRAVILLA,VIA FERRAVILLA,www.ferravilla.it,info@ferravilla.it,0362/629642,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
5a1e75ce-4fdc-440e-be28-c1ec659fe00a,"",LA VIA DEL BAMBU',VIA GARIBALDI,www.laviadelbambu.com,info@laviadelbambu.com,338/2333568,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
387c83b9-ef83-4ded-9bb1-3670aca3a31b,"",A.N.D.O.S. ONLUS,VIA GARIBALDI,www.andosdesio.it, andosdesio@email.it,0362/630495 ,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
056e7b9b-5db4-4979-87e3-9d01af233d98,"",PASQUALI FRANCESCO,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
25c7876f-9d07-4cfe-a229-f994983e2ee6,"",AVIS COMUNALE DESIO,VIA GRAMSCI,www.aviscomunaledesio.it,avisdesio@hotmail.it,0362/623672,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
bd1be19b-7d88-4c54-b876-45ae8ca94d9d,"",LUDOTECA GIOCABIMBI SRL,VIA XXV APRILE,www.matrimonioromantico.it,,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
2433f3ca-b441-4f2b-866c-5a6bdf20b09b,"",DIPINGERE INSIEME,VIA GARIBALDI,www.hubdesio.it,carlinac44@gmail.com,0362/622425,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
b99b588d-78eb-4d48-a535-70bc22bc4cff,"",LA PICCOLA SCUOLA DI ARTE E MOVIMENTO SRL,VIA LAMPUGNANI,,,0362/210622,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
7195d363-add1-4beb-9c97-e37fe21a6d71,"",SCUOLA MATERNA UMBERTO 1,VIA SCIESA,,,0362/626793,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
ebef015d-f9c4-49ec-964d-2b37ede6d5fb,"",PYMCA S.N.C. DI BERETTA YLENIA & C.,CORSO ITALIA,,,0362/304168,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
51e240b9-4767-4e15-bd6d-4fa2e59fa0c9,"",FONDAZIONE PER LA FAMIGLIA EDITH STEIN- ONLUS,VIA PORTICHETTO,www.fondazionefamigliaedithstein.it,ceafdesio@tiscali.it,0362/629193,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
bec455f3-fe58-4fc7-a551-ad84b7ffca4e,"",COOPERATIVA  ACLI A. GRANDI,VIA GRANDI,www.acliservizi.com,,02 25 54 47 77,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
0ca17777-91ea-4997-bd2b-768f3fcb2df6,"",PICCOLE CANAGLIE SRL,PIAZZA MARTIRI DI FOSSOLI,,,0362/308271,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
28ab0b04-929d-4eb9-9765-ede2b0afc60c,"",COMITATO DEL QUARTIERE S. VINCENZO - SPACCONE,VIA ROMAGNA,www.sanvincenzospaccone.wordpress.com," sanvincenzo.spaccone@virgilio.it
 ellea1971@gmail.com
 smiragliapaolo@teletu.it",,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
cbb17219-02ef-43c0-bff6-c3f403edb711,"",ARDEN LUOGO DEL POSSIBILE APS,VIA BORGHETTO,www.ardenspazio33.it,info@ardenspazio33.it,349/3257087,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
1385ef2a-501f-43c9-b491-7d48f95a37e1,"",GRUPPO ARTISTICO DESIANO,VIA GRAMSCI,www.associazionegad.it,info@associazionegad.it,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
9d15050d-359c-4c1b-9094-7aad14e4d9c8,"",GRUPPO TEATRO SONIA BONACINA,VIA GRAMSCI,www.gtsoniabonacina.it,info@gtsoniabonacina.it,,"","","","","","",N Non Domestica 01 : MUSEI-BIBLIOTECHE-SCUOLE-ASSOCIAZIONI-LUOGHI CULTO
56ad830f-0f0a-4303-82aa-66233de54890,"",MAS SAS DI MOLININI ALBERTO,VIA BINZAGO,,,0362/629476,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
a244a940-d0d8-441e-abfd-e9eeea981347,"",GUA GIU SNC DI GUARRINIELLO G.& C.,VIA MEDA,www.lafabbricadellosport.it,,"039/4655101
039/460791 ","","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
5b6abbb4-cb13-47c0-af08-310bd1e1d033,"",MELFI SRL,VIA CARAVAGGIO,,,0362/308960,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
a7674e28-c6a4-4fca-a1c6-204ed20ecc12,"",POLIN SNC DI VIGANO' & POLIN,VIA OSLAVIA,,,0362/625436,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
4262fed3-59c0-4938-a2d1-cf54c1fb2590,"",TEVEN ELETTRONICA SNC,VIA BRIANZA,www.sevenelettronica.com,info@sevenelettronica.it,,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
2d3d284b-2eab-443a-b1a0-60e59d723f96,"",I.R.A.S. DI A.RECALCATI & C. SNC,VIA BOLTRAFFIO,,,039/2454563,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
90e9f92f-a59a-46fd-b1cd-bcc480ca2fef,"",ZSK ITALIA SPA,VIA NOVATI,www.zsk-italia.com,,0362/620578,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
c4909f5f-6417-42c4-abef-ad09886f5737,"",IMPRESA DI SCAVI E DEMOLIZIONI DI PAVANETTO SEVERINO SNC DI PAVANETT O DENIS & DIEGO,VIA SOLFERINO,,,0362/627974,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
1d7d733f-e9f6-4af7-aef8-462a5aa681cf,"",AZIENDA TRASPORTI MILANESI SPA,CORSO ITALIA,www.atm.it,E-mail web@atm.it,02/88453900,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
d0ba9f91-3af7-4c3f-9485-0645bb5b4ed8,"",PRO.EDIL S.R.L.,VIA MOLINARA,,,331/8324999,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
36678a5a-fc21-457d-9b47-db61eab76f29,"",SDA EXPRESS COURIER SPA,VIA LAVORATORI AUTOBIANCHI,www.sda.it,,Numero verde: 803-160,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
227152b8-8844-48e2-9c7f-ba9e03e73e60,"",TECNOPROGRAM S.R.L.,VIA LAVORATORI AUTOBIANCHI,www.tecnoprogram.it,info@tecnoprogram.it,0362/852722 ,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
c2af6f1b-7546-4454-8d31-9feb0fc1944c,"",GV ARTEARREDA BY IDEA DONNA SNC,VIA LAVORATORI AUTOBIANCHI,,,026/6223747,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
9249aa58-00b8-44cb-8952-54a14795bf75,"",IMM. SALLPI SRL,VIA LAVORATORI AUTOBIANCHI,,,0362/331042,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
7eef3324-f63e-4f0f-8920-5a5f25bb48c3,"",FRIGERIO DI DESIO SAS DI FRIGERIO GIOVANNA,VIA PODGORA,,,0362/625301,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
a5e337f1-e6ed-4fca-b2c0-8caadf2b8075,"",PROVINCIA DI MONZA E DELLA BRIANZA,VIA TAGLIABUE,www.provincia.mb.it,provincia-mb@pec.provincia.mb.it,039/9752304/2305,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
e0146822-59e6-4f27-89fe-077f4b2188cb,"",FRATELLI POZZOLI SNC,VIA LECCO,www.pozzolimarket.it,,Numero verde: 800-391155,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
dda2d58f-3f66-488f-8d55-cefc6a5cf792,"",SST S.R.L.,VIA DEGLI ARTIGIANI,www.sst-italia.it,info@sst-italia.it,0362/306761,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
