N. PROG. INVENT.,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA',FG,MAPPALE,SUB
272,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,701
273,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,708
274,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,709
276,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 box auto",box auto,Pallavicini 25 ,DESIO,22,254,713
277,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25  box auto",box auto,Pallavicini 25 ,DESIO,22,254,712
278,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 box auto",box auto,Pallavicini 25 ,DESIO,22,254,715
279,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25  box auto",box auto,Pallavicini 25 ,DESIO,22,254,716
280,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25  box auto",box auto,Pallavicini 25 ,DESIO,22,254,717
281,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25  box auto",box auto,Pallavicini 25 ,DESIO,22,254,718
283,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,701
284,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,702
285,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,703
286,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,704
288,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,705
289,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,707
290,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,706
292,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,708
294,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,709
295,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,710
296,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,711
297,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,712
298,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,713
299,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,714
300,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,715
301,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,716
302,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,720
303,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,718
304,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,719
305,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,721
306,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,717
307,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,722
308,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,723
309,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,724
310,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,725
311,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,726
312,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,727
313,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,728
314,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,729
315,PAA2 400 - Fabbricati (patrimonio indisponibile),via Colombo 27 29 31 edificio ERP,abitazione,Colombo  ,DESIO,24,53,730
317,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,701
318,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,703
319,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,704
320,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,705
321,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,706
322,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,708
323,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,709
324,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,707
325,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,710
326,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,711
327,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,712
328,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,713
329,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,716
330,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,717
331,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,714
332,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,715
333,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,718
334,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,719
335,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,720
336,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,721
337,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,723
338,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,724
339,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,725
340,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,726
341,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,722
354,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,701
355,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,702
356,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,703
357,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,704
358,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,705
359,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,706
360,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,707
361,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,708
362,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,710
363,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,709
364,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,712
365,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,711
366,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,713
367,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,714
368,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,715
369,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,716
370,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,717
371,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,718
372,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 abitazione ERP,abitazione,Bovisio 9 ,DESIO,35,18,719
373,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,714
374,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,715
375,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,701
376,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,702
377,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,703
378,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,704
379,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,705
380,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,706
381,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,707
382,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,708
383,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,709
384,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,710
385,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,711
386,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,712
387,PAA2 400 - Fabbricati (patrimonio indisponibile),via Bovisio 9 box auto,box auto,Bovisio 9 ,DESIO,35,17,713
404,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,20
405,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,27
406,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,28
407,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,29
408,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,31
409,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 box auto,box auto,Solaro 2 ,DESIO,22,225,32
410,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,1
411,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,5
412,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,6
413,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,8
414,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,11
415,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,12
416,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,13
417,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 2 abitazione,abitazione,Solaro 2 ,DESIO,22,225,17
418,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,1
419,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,2
420,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,3
421,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,4
422,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,5
423,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,6
424,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,7
425,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b box auto,box auto,Solaro 5 B,DESIO,22,236,8
426,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,1
427,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,2
428,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,3
429,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,4
430,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,5
431,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,6
432,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,7
433,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,8
434,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,9
435,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,10
436,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5b abitazione,abitazione,Solaro 5 B,DESIO,22,235,11
437,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,13
438,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,14
439,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,15
440,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,16
441,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,17
442,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/b abitazione,abitazione,Solaro 5 B,DESIO,22,235,18
443,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,1
444,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,2
445,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,3
446,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,7
447,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,5
448,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,6
449,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,8
450,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,9
451,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,10
452,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,11
453,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,12
454,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,13
455,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,14
456,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,15
457,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,16
458,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,16
459,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,17
460,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,19
461,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,18
462,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,20
463,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,21
464,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,22
465,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,23
466,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,25
467,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,26
468,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,27
469,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 box,box auto,Rosselli 6 ,DESIO,22,368,24
478,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,2
479,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,5
481,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,3
482,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,4
485,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,10
492,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,6
494,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,8
495,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,9
496,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,11
498,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,7
502,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,12
503,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,13
504,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,14
505,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 6 abitazione,abitazione,Rosselli 6 ,DESIO,22,368,15
513,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 1 box,box auto,Padre Kolbe 1 ,DESIO,20,128,25
514,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 1 box,box auto,Padre Kolbe 1 ,DESIO,20,128,29
515,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 1 abitazione,abitazione,Padre Kolbe 1 ,DESIO,20,128,13
516,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,38
517,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,39
518,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,40
519,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,44
520,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,47
523,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,49
525,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 box,box auto,Padre Kolbe 2 ,DESIO,20,131,51
526,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,17
534,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,20
535,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,23
536,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,9
537,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,13
538,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 2 abitazione,abitazione,Padre Kolbe 2 ,DESIO,20,131,15
539,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,131,26
540,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,129,22
542,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,130,28
544,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,130,31
548,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,130,33
549,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,130,34
551,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 box,box auto,Padre Kolbe 4 ,DESIO,20,130,38
552,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,130,12
558,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,130,3
559,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,130,6
